original_name,name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,observations
,ano,int64,Reference year of the landed cadastro extract.,2026(1)2026,no,,,Added in staging.
CNPJ_CIA,id_cnpj,string,"Issuer CNPJ, digits only, padded to 14.",(1),no,,,
CD_CVM,id_cvm,string,CVM issuer code. STRING so leading zeros are not lost.,(1),no,,,
DENOM_SOCIAL,razao_social,string,Registered legal name (denominação social).,(1),no,,,
DENOM_COMERC,nome_comercial,string,Trade name.,(1),no,,,
DT_REG,data_registro,date,CVM registration date.,(1),no,,,
DT_CONST,data_constituicao,date,Incorporation date.,(1),no,,,
DT_CANCEL,data_cancelamento,date,Registration cancellation date.,(1),no,,,
MOTIVO_CANCEL,motivo_cancelamento,string,Cancellation motive when SIT is not ATIVO.,(1),no,,,
SIT,situacao,string,Registration situation. Seed B later keeps ATIVO only.,(1),yes,,,
DT_INI_SIT,data_inicio_situacao,date,Date the current SIT started.,(1),no,,,
SETOR_ATIV,setor_atividade,string,Activity sector as coded by CVM.,(1),no,,,
TP_MERC,tipo_mercado,string,Market type (Bolsa / Balcão).,(1),no,,,
CATEG_REG,categoria_registro,string,Registration category (A/B).,(1),no,,,
DT_INI_CATEG,data_inicio_categoria,date,Date the registration category started.,(1),no,,,
SIT_EMISSOR,situacao_emissor,string,Issuer situation distinct from SIT.,(1),no,,,
DT_INI_SIT_EMISSOR,data_inicio_situacao_emissor,date,Date the issuer situation started.,(1),no,,,
CONTROLE_ACIONARIO,tipo_controle_acionario,string,Control type (PRIVADO/ESTATAL/ESTRANGEIRO). Not the controlling person.,(1),yes,,,
TP_ENDER,tipo_endereco,string,Address type of the issuer headquarters.,(1),no,,,
LOGRADOURO,logradouro,string,Street of the issuer headquarters.,(1),no,,,
COMPL,complemento,string,Address complement.,(1),no,,,
BAIRRO,bairro,string,Neighborhood.,(1),no,,,
MUN,nome_municipio,string,Municipality name as written by CVM. Not an IBGE id.,(1),no,,,
UF,sigla_uf,string,Federation unit of the headquarters.,(1),no,br_bd_diretorios_brasil.uf:sigla_uf,,
PAIS,nome_pais,string,Country name.,(1),no,,,
CEP,cep,string,"Postal code. STRING, never INT64.",(1),no,,,
DDD_TEL,ddd,string,Telephone area code.,(1),no,,,
TEL,telefone,string,Telephone number.,(1),no,,,
DDD_FAX,ddd_fax,string,Fax area code.,(1),no,,,
FAX,fax,string,Fax number.,(1),no,,,
EMAIL,email,string,Issuer email.,(1),no,,,
TP_RESP,tipo_responsavel,string,Role of the named responsible person.,(1),no,,,
RESP,nome_responsavel,string,Name of the responsible person.,(1),no,,,
DT_INI_RESP,data_inicio_responsavel,date,Date the responsible person started.,(1),no,,,
LOGRADOURO_RESP,logradouro_responsavel,string,Street of the responsible person.,(1),no,,,
COMPL_RESP,complemento_responsavel,string,Complement of the responsible person.,(1),no,,,
BAIRRO_RESP,bairro_responsavel,string,Neighborhood of the responsible person.,(1),no,,,
MUN_RESP,nome_municipio_responsavel,string,Municipality of the responsible person.,(1),no,,,
UF_RESP,sigla_uf_responsavel,string,UF of the responsible person.,(1),no,br_bd_diretorios_brasil.uf:sigla_uf,,
PAIS_RESP,nome_pais_responsavel,string,Country of the responsible person.,(1),no,,,
CEP_RESP,cep_responsavel,string,Postal code of the responsible person.,(1),no,,,
DDD_TEL_RESP,ddd_responsavel,string,Telephone area code of the responsible person.,(1),no,,,
TEL_RESP,telefone_responsavel,string,Telephone of the responsible person.,(1),no,,,
DDD_FAX_RESP,ddd_fax_responsavel,string,Fax area code of the responsible person.,(1),no,,,
FAX_RESP,fax_responsavel,string,Fax of the responsible person.,(1),no,,,
EMAIL_RESP,email_responsavel,string,Email of the responsible person.,(1),no,,,
CNPJ_AUDITOR,id_cnpj_auditor,string,"Auditor firm CNPJ, padded to 14 when digits exist.",(1),no,,,
AUDITOR,nome_auditor,string,Auditor firm name.,(1),no,,,
